MAPI_ACKNOWLEDGEMENT_MODE 0x0001
MAPI_ALTERNATE_RECIPIENT_ALLOWED 0x0002
MAPI_AUTHORIZING_USERS 0x0003
MAPI_AUTO_FORWARD_COMMENT 0x0004
MAPI_AUTO_FORWARDED 0x0005
MAPI_CONTENT_CONFIDENTIALITY_ALGORITHM_ID 0x0006
MAPI_CONTENT_CORRELATOR 0x0007
MAPI_CONTENT_IDENTIFIER 0x0008
MAPI_CONTENT_LENGTH 0x0009
MAPI_CONTENT_RETURN_REQUESTED 0x000A
MAPI_CONVERSATION_KEY 0x000B
MAPI_CONVERSION_EITS 0x000C
MAPI_CONVERSION_WITH_LOSS_PROHIBITED 0x000D
MAPI_CONVERTED_EITS 0x000E
MAPI_DEFERRED_DELIVERY_TIME 0x000F
MAPI_DELIVER_TIME 0x0010
MAPI_DISCARD_REASON 0x0011
MAPI_DISCLOSURE_OF_RECIPIENTS 0x0012
MAPI_DL_EXPANSION_HISTORY 0x0013
MAPI_DL_EXPANSION_PROHIBITED 0x0014
MAPI_EXPIRY_TIME 0x0015
MAPI_IMPLICIT_CONVERSION_PROHIBITED 0x0016
MAPI_IMPORTANCE 0x0017
MAPI_IPM_ID 0x0018
MAPI_LATEST_DELIVERY_TIME 0x0019
MAPI_MESSAGE_CLASS 0x001A
MAPI_MESSAGE_DELIVERY_ID 0x001B
MAPI_MESSAGE_SECURITY_LABEL 0x001E
MAPI_OBSOLETED_IPMS 0x001F
MAPI_ORIGINALLY_INTENDED_RECIPIENT_NAME 0x0020
MAPI_ORIGINAL_EITS 0x0021
MAPI_ORIGINATOR_CERTIFICATE 0x0022
MAPI_ORIGINATOR_DELIVERY_REPORT_REQUESTED 0x0023
MAPI_ORIGINATOR_RETURN_ADDRESS 0x0024
MAPI_PARENT_KEY 0x0025
MAPI_PRIORITY 0x0026
MAPI_ORIGIN_CHECK 0x0027
MAPI_PROOF_OF_SUBMISSION_REQUESTED 0x0028
MAPI_READ_RECEIPT_REQUESTED 0x0029
MAPI_RECEIPT_TIME 0x002A
MAPI_RECIPIENT_REASSIGNMENT_PROHIBITED 0x002B
MAPI_REDIRECTION_HISTORY 0x002C
MAPI_RELATED_IPMS 0x002D
MAPI_ORIGINAL_SENSITIVITY 0x002E
MAPI_LANGUAGES 0x002F
MAPI_REPLY_TIME 0x0030
MAPI_REPORT_TAG 0x0031
MAPI_REPORT_TIME 0x0032
